Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	63.6098581991765	56.177025806289	55.445285891773	58.9577596438842	40.3165383885449	57.6020524279885	42.2288128380196	60.7480876504256	69.0339283485652	64.5219092658003	55.0816775107528	66.6788239453498	59.7803473388704	37.6321339784466	57.7218342493489	53.2975114487705	42.4302183822782	71.8623264863671	61.4221697003581	60.1065576593086	52.4748714172333	46.4545371487768	48.3801393816668	66.2567285808159	62.4232450639931	64.0838068274928	63.0788000958708	55.1175643440002	69.9562421847938	48.6531413559232	57.9854170685631	49.5162507168601	66.4583727603785	88.0991168164479	54.9282997657144	61.3206870173206	64.0501035313119	62.6836563761747	41.5716634823264	61.1278062196088	52.2632216125777	48.9016138779684	81.9247321126683	56.6328883770063	61.2522226597667	51.6196581756722	45.7726658548163	51.0893492499815	56.5991220775333	70.1995526408057	62.329873921694	65.64591822691	49.78913876187	67.3987627360865	42.1988450484998	55.0318621763233	46.6890748230172	58.5831957378963	64.7167286027402	52.8506703681378	52.1426707855009	65.1251197887209	60.5039399947993	45.0942648226636	57.677166678819	59.3006795676094	51.9722943510729	83.7963870285962	60.8449951409277	56.2400033787123	46.248537545648	39.9159693616027	54.3768182163908	58.177643676863	56.6329687972075	64.865989084719	65.8581781758232	47.3813786516128	67.802513688204	48.1242630944224	55.8036311010025	48.2014452496879	56.9847713597097	69.1880471103965	51.0906964387145	54.7184123903857	67.6792386988643	57.3253412996894	48.1401349978017	60.4237532724127	62.6176527512153	53.1248408154747	80.1038772885199	62.8206679452788	63.4092452819447	54.3822099090916	45.7273419195546	50.8641251058848	61.9778355680649	62.630409392337
0.5	63.6465675899246	56.2783533210981	55.5598654028351	59.269808671637	40.4483900444794	57.8190699477349	42.3264230891479	60.7934995144656	69.0805947695942	64.5602552447008	55.1891123744776	66.6239290066596	59.9158257733228	37.740693792642	57.8604953001865	53.3744882236439	42.6508816706008	72.0481008998831	61.5936550058651	60.3044370735233	52.5947380961154	46.5677055341362	48.4662101832827	66.5370323744735	62.7372524229085	64.3022804674115	63.2445241477374	55.249317756829	70.1760037743358	48.8901622950293	58.2362441525837	49.6487669362422	66.5800551200563	88.3272972957398	55.229974070157	61.5393551535661	64.2568176172684	62.9057737279114	41.7081848327508	61.4906871654388	52.5732057576237	49.1905651507648	82.2175378330115	56.912039634633	61.4383482814421	51.6167243782986	46.0667017234821	51.2704905812016	56.7324975419985	70.4396895942388	62.312949364551	65.6507407740452	49.9839395737021	67.5220870580945	42.3321563735415	55.080973851929	46.7286272838437	58.6177772500581	64.7757192305598	52.9136555645499	52.0506933732046	65.1452269782053	60.5100425541207	45.3118012453711	57.5277416950422	59.3493306557874	52.1181709861392	83.6287087437688	61.1889390339377	56.3797424956618	45.8692145249844	40.1677536877319	54.4644772425509	58.3761322579805	56.951980802703	65.0905546279721	66.2165457147274	47.5656504810784	68.0577383149115	48.3040995183091	56.0052198524851	48.3710319178842	57.257360773577	69.4391180733124	51.2567784111785	54.8527586408833	67.787200485122	57.5796656701963	48.3339751786475	60.6471871108199	62.9460790788729	53.2660058198747	80.3535938931203	63.0995875427543	63.6679565933652	54.5391539694134	45.9935949621978	51.1033069300078	62.2549432481675	62.8760600483253
1	63.6553055989356	56.3876571603167	55.6824143912892	59.8801432540017	40.5425489298764	57.920392610255	42.4259038330028	60.8231620909143	69.210378794664	64.5961047972	55.3180277009935	66.6354206643621	60.0342170534599	37.8286782008763	58.0391836060429	53.4375575541212	42.8420393698143	72.2484601706806	61.7143271005941	60.405468874653	52.7020688763061	46.6172659627059	48.612246855076	66.8620695562873	63.0806382530785	64.5486462744514	63.4184320599826	55.3402299038714	70.4416626672138	49.1141494692693	58.5114762723557	49.8079265968927	66.7222330919155	88.5919983215506	55.5262455838601	61.7230529081389	64.4621962519503	63.1870921730518	41.8860551836728	61.8395873621746	52.8052804077767	49.4517653148117	82.4548823157555	57.10998431955	61.5924557545166	51.7482616471875	46.2377035490824	51.4360996565955	56.8645980987995	70.7426987621342	62.2905800151583	65.6782376330868	50.2492870560998	67.6262692182675	42.3505552478839	55.1708613532096	46.7212278615462	58.6002452586853	64.9582331643566	52.9832738763463	52.0040332934627	65.1176946004187	60.5213069432853	45.4839070892354	57.4774621104306	59.3928070271481	52.2360297284063	83.5437538716112	61.4942882290198	56.5225388997959	46.8739984724669	40.245105259548	54.5894395843833	58.5073164210638	57.2607898694388	65.3500100693404	66.5871746657487	47.693811877786	68.2845972966617	48.472236298959	56.1688143970749	48.5770724365758	57.4755120836431	69.7682722150906	51.4638136904635	54.9731887860841	67.9006498737523	57.8151652263413	48.5167299634678	60.8428724643346	63.1949066340747	53.3559865201906	80.5880453732444	63.2028363583309	63.9831586915859	54.679219574214	46.2574470043032	51.3494099351129	62.4643089373194	63.1168968694633
1.5	63.6931796382281	56.4879553963032	55.7526980617687	60.5958542995051	40.6469489067626	58.0344664459105	42.5162132350019	60.8733129178156	69.3659493131079	64.6209773990276	55.4353968705709	66.6523734228306	60.1746253498441	37.9597386648392	58.2796096446035	53.523175829489	43.0300005574582	72.4694588901266	61.8816112031368	60.5263677728821	52.7986987425825	46.7200607681346	48.7419478871339	67.1735718619257	63.3562190867504	64.697894264628	63.6443612294442	55.5249481761214	70.7137765162583	49.3074459126952	58.7354672894909	49.9510760685002	66.8331816083998	88.8980309331325	55.7835131128046	61.9080597023657	64.6621745467314	63.4872102233326	42.0310383631946	62.1887955917161	53.0474311443222	49.5957685768087	82.5346421812511	57.3722062328633	61.7479324324385	51.734718327065	46.3603765428411	51.5719617158988	57.0031782763543	71.0379121965175	62.3425636997335	65.649479836424	50.4315296062806	67.7508985655539	42.5297768115438	55.2909707976949	46.7339433340679	58.4890118896214	65.0647459560409	53.0966873038365	52.0527622805731	65.1923874936936	60.5577456845502	45.6768764931972	57.4492988578363	59.452101622686	52.4097820087375	83.2861931379003	61.7495929217909	56.6859328261733	47.0279227003407	40.311409120876	54.799040153078	58.6605154126586	57.5775362561969	65.6206425070637	66.8810709696007	47.8053009166295	68.4626877133058	48.6023804041157	56.3438873478057	48.7562484779478	57.7054280968886	70.0477758195166	51.6105893122316	54.9751311369289	67.999925375964	58.051885347919	48.7001629696955	60.9809937042356	63.405897595604	53.4617070893228	80.6491289710627	63.16374546984	64.2728243702151	54.7181371503376	46.501278622338	51.61458545432	62.6806936141152	63.3831408073304
2	63.6837230019918	56.6098164869963	55.846662671902	61.2066612777352	40.7290174849983	58.1384300944053	42.6313035912843	60.8842232038798	69.4733524821091	64.6811790139004	55.5587005349071	66.6913574430504	60.3049243794333	38.0702798190625	58.5349291505653	53.55298456765	43.2020787279917	72.7201234758005	62.08052848338	60.7132581388937	52.9309726811927	46.8018940315005	48.8349254633803	67.4336873195924	63.655478234533	64.9365358903467	63.8483195586113	55.6228079311044	70.9343557062223	49.5258975275175	58.9872408130335	50.1163867111655	66.9696495578512	89.1594078760533	55.9819342001384	62.0698976293984	64.8975628366975	63.730355073018	42.2024358676766	62.516634052018	53.2562431190807	49.7610429746253	82.7801300409092	57.5692535224241	61.9302974396328	51.7884978182624	46.4822664735949	51.7079154524205	57.1011132314025	71.2651309750763	62.3602683033329	65.5913533566994	50.6419472971934	67.8749638545803	42.6530548384614	55.3447394086281	46.8071650757343	58.3510801566861	65.1140431494764	53.1916664021258	52.0026188788554	65.2328223610652	60.5801354603278	45.8211393797007	57.4597423144706	59.4924717470897	52.6005786940496	83.2624453548088	61.9454048342142	56.8454786692462	47.1933995352874	40.4230895278591	54.849723399929	58.8708010592923	57.860391264953	65.845145455731	67.2848844681404	47.9447010385356	68.7783398010243	48.7379706696902	56.5440616108279	48.9220659721579	57.9437340238954	70.4248661730108	51.7787304583579	55.0632240698753	68.1216320993287	58.3028420599461	48.8471983164759	61.2089946520623	63.6255754750553	53.5688867860244	80.8949988612973	63.2753953237064	64.5255770341085	54.7163475722049	46.689157973931	51.8654368400779	62.9242419396781	63.6415106417555
2.5	63.8001137075628	56.7367996470952	56.0030014518741	61.505478873676	40.8262589720916	58.3014557846304	42.718684054264	60.9327991328368	69.6224051193918	64.8124304969735	55.6669173201042	66.7420385300738	60.4178318908717	38.1966258904167	58.7569417376845	53.592510091459	43.3513655876413	73.0396373524149	62.2954826629429	60.8667637698195	53.068540152496	46.8702530416955	48.9436265653941	67.6950342704854	63.9500379847391	65.1982118728667	64.1071096157263	55.7082274180592	71.1820494988941	49.7009038464848	59.2654212866077	50.2731465587578	67.0890857228985	89.4761043011724	56.2439506028778	62.2229587702711	65.0385807468321	64.009097075778	42.3765044130458	62.8483448816378	53.5061293878432	49.988090346166	82.9294232213157	57.7537809543224	62.114034592772	51.996213747235	46.6728895846574	51.8545338304959	57.2517617439849	71.5128040233836	62.4398935936479	65.5682935188013	50.7753624910048	67.9895050276443	42.7277014672317	55.3717276019615	46.8692476923993	58.2383103889432	65.183501759374	53.2569380048312	51.9655956719194	65.2039950733406	60.5727356485965	45.9551897268334	57.4677546511372	59.5957909024793	52.7686816716447	83.2011779650731	62.2167523195307	56.9842043275391	47.3637883670044	40.5350216454415	54.8246620744889	59.0556766751167	58.1308454912648	66.0912833310012	67.6241886799076	48.1047714501368	69.1080474553578	48.8464381792459	56.7915568448309	49.0863267790532	58.2307641939926	70.7432862264809	51.9643053585197	55.1415836705702	68.2371027834333	58.517264761418	49.018020670732	61.5257421844031	63.8243144838412	53.6386411975717	81.0385684823597	63.3846808780655	64.7992460832098	54.9168853162307	46.9091050371131	52.0551104495391	63.1958873088486	63.8216527296662
3	63.9454843405414	56.8959893107078	56.1801980513105	62.0413253651044	40.9007220827353	58.4513819742048	42.8428404785084	61.0322278209055	69.7913602378197	65.0099484405261	55.7830772776961	66.7970994651373	60.5364158308427	38.2699476925891	58.9716616129084	53.6597511562858	43.5285339957596	73.1573771842283	62.4518236239191	61.0381494638221	53.2277077345489	46.9990907514175	49.0520464575019	67.9953252537183	64.2550645884777	65.4672369744525	64.3002492290177	55.8537650958272	71.4293129021487	49.8616846944318	59.529468049695	50.4315242649979	67.229869990859	89.846245705059	56.5037910324194	62.3644443046819	65.257522362414	64.2701602213058	42.5219217130754	63.2359951965539	53.7191435037881	50.1875789037915	83.1469004789207	57.9664605252265	62.339596771628	52.1367940099057	46.8961577555814	51.9979782972155	57.4030415351568	71.8004760379295	62.5179589272529	65.5798997490865	50.9373733750148	68.0770895652853	42.8764052279525	55.4165689539326	46.8924751554746	58.1055061876501	65.2469046456334	53.3284181595294	51.9368519179152	65.2345381233067	60.5997243399113	46.1387388975177	57.4191984717902	59.7329613385399	52.9439957823074	82.9004554743878	62.5421784334767	57.1573562351157	47.4157889521341	40.6887677063397	54.8663557596116	59.262748401891	58.3973074780248	66.3507696977319	67.8886695202455	48.3281707819029	69.4119213626298	48.9567753270598	57.117417673041	49.302154928136	58.4900120555453	71.0457097972656	52.1185527965692	55.2509810815886	68.2753364219714	58.7036210179517	49.2610898712503	61.7681676108237	63.9072981676456	53.7770020924648	81.1504011662665	63.4551155286372	65.0524232570361	55.0455527420621	47.15339883032	52.3326040464587	63.4347934425234	64.0227788650928
3.5	64.0981774685184	57.0351803581897	56.363553795843	62.7711939413904	40.989000650341	58.6641077281371	42.98683720162	61.0994363898811	70.0011681069359	65.092777432462	55.8911106008355	66.8927584243851	60.6675072319455	38.3319481646406	59.2000491656147	53.7149014771827	43.7003793213722	73.0833279071268	62.6316972318082	61.2244379254006	53.416531210793	47.1201733921448	49.1975857664336	68.2637606354321	64.5007511795757	65.6121736854166	64.5495901768603	56.0218208457996	71.6411465065019	50.0492094913365	59.7929477247849	50.5415551161893	67.3711737465413	90.1421682275884	56.7438468166188	62.5331357862264	65.4602834643615	64.5565423055482	42.6920410351541	63.702631031676	53.9393562404627	50.6086454303004	83.2117362202797	58.1405879235878	62.5297242359876	52.3828046531012	47.1277819431326	52.1263778282638	57.4944088869056	72.0850994533576	62.5468687285748	65.5768261544593	51.1906040618704	68.176901737485	43.0249579408667	55.4435885021822	46.8888161147088	58.0270135518335	65.3392316429493	53.4016247456026	51.9188516577963	65.2686967827859	60.6316567763866	46.3228495609407	57.3980572800256	59.7620401906718	53.14426738617	82.5063852108367	62.8383580779097	57.2947460973006	47.5604979439868	40.8648380130801	54.8603156693086	59.4297430614385	58.6680951572856	66.6760071457907	68.2432950031331	48.5826714088511	69.7405926881741	49.0995867827749	57.2234259683875	49.4869229896837	58.742704979722	71.3295019063851	52.3248216899882	55.3821202658695	68.3628786564061	58.9627683259267	49.4835623260209	61.8863402623425	64.1442695925621	53.9964840060828	81.2741662925641	63.5999363685713	65.2889098846381	55.1532313485668	47.3952850860426	52.5543667297867	63.6229857092794	64.2782191061894
4	64.1839375083303	57.2018392523208	56.6135938930317	63.1329715720086	41.0999944779869	58.8108418142657	43.077449917994	61.152686326753	70.2016375910032	65.1376337254948	56.0222467187864	66.8781106051022	60.8055530127766	38.5646647807886	59.4305030835212	53.7833066809583	43.8836791962885	73.0861035161336	62.7522235027057	61.3817462070804	53.5608751064084	47.2087183238507	49.3222278645502	68.5021397372391	64.746117857952	65.8929145223642	64.8504240565185	56.185225957978	71.8835802978499	50.2127553957736	60.0618488908591	50.6430309052682	67.5140212433015	90.5157671931762	56.9694918150048	62.7520054067058	65.6721740167923	64.8440822033694	42.9004874773096	64.1211888247979	54.1899983647176	50.9675940656379	83.3545257125426	58.3306726759811	62.7159803575949	52.4999249155625	47.3401089202832	52.290745263428	57.5835970623009	72.3989146837938	62.6576587827376	65.5597201180066	51.3716690932389	68.3231483691463	43.2169756495215	55.5270027105746	46.92707709803	57.9840714986312	65.4837509800891	53.5316708160973	51.8954824352603	65.2486925817658	60.6506136436861	46.4994716619624	57.3583240689972	59.8440050662013	53.4001670855036	82.1867990541624	62.9048464837391	57.4617913110002	47.582080301454	41.0218703870914	54.9539319471768	59.6067670486858	58.8972541705621	66.9772605845769	68.5709077828344	48.8227304330216	69.9479560614552	49.2167106482814	57.3250454838727	49.6688208069548	58.9531669238023	71.6260597495753	52.61372562757	55.5442224999148	68.486235771147	59.1893236147779	49.7099579628215	61.9084782620948	64.347509814377	54.1821908713333	81.3332848991026	63.6875984001592	65.5541030917237	55.416063789996	47.7138035797225	52.7616308428249	63.8369683928113	64.4884126072295
4.5	64.2880575742688	57.3533019475055	56.8562117817976	63.378162820418	41.201556051234	58.8834555636203	43.1815208939078	61.2346708843688	70.2716941069179	65.2312137710595	56.1656466559989	66.883049320593	60.9548483801394	38.7765713913387	59.7129995050311	53.861011705877	44.0880853090793	73.1867218960801	62.887634747742	61.4745757447773	53.6932823710948	47.3478975789212	49.4618841417328	68.7286530261213	65.0071712700055	66.1344413209664	65.175520041868	56.2890873453008	72.0473796786413	50.3745353614358	60.3473442275817	50.7623272463572	67.643879627853	90.7177169685439	57.1779832991488	62.966238587216	65.9640090434583	65.1695097536106	43.036030930866	64.5010979165461	54.4540187062752	51.172658403111	83.4221295862794	58.5183830469654	62.9642982894194	52.7090084309067	47.5746739831611	52.4636606793758	57.7126414569716	72.6847674204306	62.7302713545654	65.5756961985173	51.5837593896372	68.4404499343968	43.4265996284724	55.5841244341231	47.0182067260696	57.9683278017032	65.622086231527	53.6356953278422	51.8823837151389	65.2251338949818	60.6548836931735	46.6959835747943	57.3203551605068	59.9386363945056	53.6541919931945	81.8530937151455	62.8325139905165	57.6406166008886	47.7017737407591	41.1681901991309	55.0554491104534	59.7636244650278	59.158036071777	67.2343452523847	68.8758265045097	49.0140549857535	70.2865183994309	49.3366730757704	57.494918515273	49.8332493290714	59.1581283678171	71.9139982521349	52.7543527803229	55.6720311690728	68.5458420810548	59.3847494505389	49.9069559835142	61.9838497586038	64.5833422829641	54.3389560517778	81.4764800900131	63.8969985288083	65.831420587586	55.6197792951103	48.0145514538711	53.0180394746326	64.0489751419395	64.6848014371301
