Joint_angle	STR_PP_7__7	STR_PP_8__8	STR_PP_3__3	CON_PP_7__7	CON_PP_8__8	CON_PP_3__3
0	-9.26287292643181	3.54876683198885	0.791423958088256	-7.42026478620011	-0.831195030817085	-1.20919313873106
0.5	-9.58123179232973	3.41406081617678	0.693811425616545	-7.6795832907956	-1.08617062929331	-1.41566432660707
1	-9.90722683992692	3.30489059153052	0.482438643663059	-7.97759413421471	-1.33867867504931	-1.65177690915361
1.5	-10.2270352094349	3.20705557970717	0.272422231936764	-8.29271994739416	-1.5595927699394	-1.9126013792825
2	-10.5378751922798	3.11676099844286	0.121305395280398	-8.6209880662868	-1.7902456168787	-2.18764228584845
2.5	-10.8504569930625	3.01952011550461	-0.0406415679663166	-8.95337110485548	-2.03217426621483	-2.46973872316397
3	-11.1778168485576	2.91354634036786	-0.236635772651614	-9.27925251574487	-2.2837538291924	-2.75839453925893
3.5	-11.5198388985107	2.81277825201817	-0.466874511130525	-9.59212808324448	-2.54249624392533	-3.05341474402309
4	-11.8596123304675	2.73771481141328	-0.724551041814314	-9.89285292072647	-2.80644111966956	-3.34804742427485
4.5	-12.1758251930605	2.70207699958432	-1.00713154083731	-10.1886988741426	-3.07368933966744	-3.62950849654674
5	-12.4596635294401	2.70528643867514	-1.3224459804254	-10.4886945138692	-3.34100099084618	-3.88660848924455
5.5	-12.720597797195	2.73365621050697	-1.68296463662185	-10.7984962435557	-3.60354344724341	-4.11849422765442
6	-12.9759566001575	2.76948499753986	-2.09554922341403	-11.1186629807035	-3.85556008657468	-4.33478411603598
6.5	-13.2369017131972	2.80098213674589	-2.55747282188327	-11.4473726900056	-4.09170859756401	-4.54619960117292
7	-13.503777558502	2.82658585176873	-3.05977580419127	-11.7864466804768	-4.30839602721025	-4.75397077748732
